venue,venuename,id,venuesMajorDisciplinary,venuesOtherDisciplinary,concepts
https://openalex.org/V4306308,Library Journal,9,['https://openalex.org/C41008148'],"['https://openalex.org/C17744445', 'https://openalex.org/C144133560']","['https://openalex.org/C41008148', 'https://openalex.org/C161191863', 'https://openalex.org/C17744445', 'https://openalex.org/C136764020', 'https://openalex.org/C144133560']"
https://openalex.org/V14019644,Statistical Modelling,46,['https://openalex.org/C41008148'],"['https://openalex.org/C33923547', 'https://openalex.org/C162324750', 'https://openalex.org/C71924100', 'https://openalex.org/C15744967']","['https://openalex.org/C41008148', 'https://openalex.org/C33923547', 'https://openalex.org/C105795698', 'https://openalex.org/C119857082', 'https://openalex.org/C162324750', 'https://openalex.org/C149782125', 'https://openalex.org/C119043178', 'https://openalex.org/C154945302', 'https://openalex.org/C185429906', 'https://openalex.org/C71924100', 'https://openalex.org/C15744967', 'https://openalex.org/C126322002', 'https://openalex.org/C28826006', 'https://openalex.org/C107673813', 'https://openalex.org/C152877465']"
https://openalex.org/V10936095,IEEE Transactions on Vehicular Technology,101,['https://openalex.org/C41008148'],"['https://openalex.org/C127413603', 'https://openalex.org/C33923547', 'https://openalex.org/C121332964', 'https://openalex.org/C162324750']","['https://openalex.org/C41008148', 'https://openalex.org/C127413603', 'https://openalex.org/C76155785', 'https://openalex.org/C33923547', 'https://openalex.org/C119599485', 'https://openalex.org/C31258907', 'https://openalex.org/C111919701', 'https://openalex.org/C105795698', 'https://openalex.org/C121332964', 'https://openalex.org/C555944384', 'https://openalex.org/C156996364', 'https://openalex.org/C24326235', 'https://openalex.org/C62520636', 'https://openalex.org/C11413529', 'https://openalex.org/C113841659', 'https://openalex.org/C97355855', 'https://openalex.org/C127162648', 'https://openalex.org/C81978471', 'https://openalex.org/C154945302', 'https://openalex.org/C162324750', 'https://openalex.org/C163258240', 'https://openalex.org/C138660444', 'https://openalex.org/C68649174']"
https://openalex.org/V26186134,Social Networks,145,['https://openalex.org/C41008148'],"['https://openalex.org/C15744967', 'https://openalex.org/C33923547', 'https://openalex.org/C144024400', 'https://openalex.org/C17744445', 'https://openalex.org/C121332964']","['https://openalex.org/C41008148', 'https://openalex.org/C15744967', 'https://openalex.org/C33923547', 'https://openalex.org/C144024400', 'https://openalex.org/C77805123', 'https://openalex.org/C36289849', 'https://openalex.org/C114614502', 'https://openalex.org/C4727928', 'https://openalex.org/C136764020', 'https://openalex.org/C105795698', 'https://openalex.org/C86256295', 'https://openalex.org/C114713312', 'https://openalex.org/C17744445', 'https://openalex.org/C53811970', 'https://openalex.org/C199539241', 'https://openalex.org/C2779812341', 'https://openalex.org/C121332964']"
https://openalex.org/V20265620,IEEE Control Systems Magazine,169,['https://openalex.org/C41008148'],"['https://openalex.org/C127413603', 'https://openalex.org/C162324750', 'https://openalex.org/C33923547', 'https://openalex.org/C121332964', 'https://openalex.org/C86803240']","['https://openalex.org/C41008148', 'https://openalex.org/C127413603', 'https://openalex.org/C154945302', 'https://openalex.org/C162324750', 'https://openalex.org/C33923547', 'https://openalex.org/C187736073', 'https://openalex.org/C2775924081', 'https://openalex.org/C65244806', 'https://openalex.org/C119599485', 'https://openalex.org/C133731056', 'https://openalex.org/C121332964', 'https://openalex.org/C17500928', 'https://openalex.org/C47446073', 'https://openalex.org/C86803240', 'https://openalex.org/C62520636']"
https://openalex.org/V23590115,Foundations and Trends in Networking,186,['https://openalex.org/C41008148'],"['https://openalex.org/C127413603', 'https://openalex.org/C33923547', 'https://openalex.org/C144024400', 'https://openalex.org/C121332964']","['https://openalex.org/C41008148', 'https://openalex.org/C31258907', 'https://openalex.org/C127413603', 'https://openalex.org/C33923547', 'https://openalex.org/C76155785', 'https://openalex.org/C555944384', 'https://openalex.org/C108037233', 'https://openalex.org/C111919701', 'https://openalex.org/C105795698', 'https://openalex.org/C158379750', 'https://openalex.org/C38652104', 'https://openalex.org/C36289849', 'https://openalex.org/C144024400', 'https://openalex.org/C62520636', 'https://openalex.org/C179518139', 'https://openalex.org/C121332964', 'https://openalex.org/C120314980']"
https://openalex.org/V44683723,Syntax,230,['https://openalex.org/C41008148'],"['https://openalex.org/C138885662', 'https://openalex.org/C33923547']","['https://openalex.org/C41008148', 'https://openalex.org/C138885662', 'https://openalex.org/C41895202', 'https://openalex.org/C33923547', 'https://openalex.org/C154945302', 'https://openalex.org/C204321447']"
https://openalex.org/V30479993,Elektronika Ir Elektrotechnika,265,['https://openalex.org/C41008148'],"['https://openalex.org/C127413603', 'https://openalex.org/C121332964', 'https://openalex.org/C33923547', 'https://openalex.org/C162324750', 'https://openalex.org/C192562407', 'https://openalex.org/C86803240']","['https://openalex.org/C41008148', 'https://openalex.org/C127413603', 'https://openalex.org/C121332964', 'https://openalex.org/C33923547', 'https://openalex.org/C119599485', 'https://openalex.org/C62520636', 'https://openalex.org/C154945302', 'https://openalex.org/C76155785', 'https://openalex.org/C97355855', 'https://openalex.org/C162324750', 'https://openalex.org/C111919701', 'https://openalex.org/C192562407', 'https://openalex.org/C187736073', 'https://openalex.org/C165801399', 'https://openalex.org/C86803240']"
https://openalex.org/V35771696,International Journal of Data Mining and Bioinformatics,284,['https://openalex.org/C41008148'],"['https://openalex.org/C86803240', 'https://openalex.org/C185592680', 'https://openalex.org/C33923547', 'https://openalex.org/C15744967', 'https://openalex.org/C138885662', 'https://openalex.org/C71924100', 'https://openalex.org/C121332964']","['https://openalex.org/C41008148', 'https://openalex.org/C154945302', 'https://openalex.org/C86803240', 'https://openalex.org/C119857082', 'https://openalex.org/C185592680', 'https://openalex.org/C33923547', 'https://openalex.org/C54355233', 'https://openalex.org/C55493867', 'https://openalex.org/C70721500', 'https://openalex.org/C178980831', 'https://openalex.org/C15744967', 'https://openalex.org/C124101348', 'https://openalex.org/C104317684', 'https://openalex.org/C180747234', 'https://openalex.org/C153180895', 'https://openalex.org/C105795698', 'https://openalex.org/C199360897', 'https://openalex.org/C138885662', 'https://openalex.org/C71924100', 'https://openalex.org/C121332964']"
https://openalex.org/V38703467,ACM Transactions on Modeling and Computer Simulation,289,['https://openalex.org/C41008148'],"['https://openalex.org/C33923547', 'https://openalex.org/C127413603', 'https://openalex.org/C121332964', 'https://openalex.org/C162324750']","['https://openalex.org/C41008148', 'https://openalex.org/C33923547', 'https://openalex.org/C105795698', 'https://openalex.org/C127413603', 'https://openalex.org/C11413529', 'https://openalex.org/C121332964', 'https://openalex.org/C199360897', 'https://openalex.org/C111919701', 'https://openalex.org/C162324750', 'https://openalex.org/C154945302', 'https://openalex.org/C31258907', 'https://openalex.org/C62520636', 'https://openalex.org/C28826006', 'https://openalex.org/C120314980']"
