venue,venuename,id,venuesMajorDisciplinary,venuesOtherDisciplinary,concepts
https://openalex.org/V1553775,Counselling Psychology Quarterly,5,['https://openalex.org/C15744967'],"['https://openalex.org/C71924100', 'https://openalex.org/C144024400', 'https://openalex.org/C138885662', 'https://openalex.org/C17744445', 'https://openalex.org/C86803240']","['https://openalex.org/C15744967', 'https://openalex.org/C71924100', 'https://openalex.org/C542102704', 'https://openalex.org/C70410870', 'https://openalex.org/C118552586', 'https://openalex.org/C144024400', 'https://openalex.org/C77805123', 'https://openalex.org/C138885662', 'https://openalex.org/C17744445', 'https://openalex.org/C199539241', 'https://openalex.org/C86803240']"
https://openalex.org/V5743915,Journal of Computer Assisted Learning,17,['https://openalex.org/C15744967'],"['https://openalex.org/C41008148', 'https://openalex.org/C33923547', 'https://openalex.org/C144024400', 'https://openalex.org/C17744445', 'https://openalex.org/C71924100', 'https://openalex.org/C162324750', 'https://openalex.org/C138885662', 'https://openalex.org/C86803240', 'https://openalex.org/C127413603']","['https://openalex.org/C15744967', 'https://openalex.org/C41008148', 'https://openalex.org/C33923547', 'https://openalex.org/C145420912', 'https://openalex.org/C144024400', 'https://openalex.org/C17744445', 'https://openalex.org/C199539241', 'https://openalex.org/C19417346', 'https://openalex.org/C16443162', 'https://openalex.org/C49774154', 'https://openalex.org/C71924100', 'https://openalex.org/C111919701', 'https://openalex.org/C136764020', 'https://openalex.org/C162324750', 'https://openalex.org/C88610354', 'https://openalex.org/C2909807104', 'https://openalex.org/C138885662', 'https://openalex.org/C509550671', 'https://openalex.org/C86803240', 'https://openalex.org/C107457646', 'https://openalex.org/C50522688', 'https://openalex.org/C127413603', 'https://openalex.org/C154945302']"
https://openalex.org/V1842953,Evaluation and Program Planning,70,['https://openalex.org/C15744967'],"['https://openalex.org/C17744445', 'https://openalex.org/C71924100', 'https://openalex.org/C162324750', 'https://openalex.org/C41008148', 'https://openalex.org/C144024400', 'https://openalex.org/C144133560', 'https://openalex.org/C33923547', 'https://openalex.org/C127413603', 'https://openalex.org/C86803240']","['https://openalex.org/C15744967', 'https://openalex.org/C17744445', 'https://openalex.org/C71924100', 'https://openalex.org/C162324750', 'https://openalex.org/C199539241', 'https://openalex.org/C41008148', 'https://openalex.org/C144024400', 'https://openalex.org/C159110408', 'https://openalex.org/C144133560', 'https://openalex.org/C33923547', 'https://openalex.org/C118552586', 'https://openalex.org/C509550671', 'https://openalex.org/C50522688', 'https://openalex.org/C39549134', 'https://openalex.org/C105795698', 'https://openalex.org/C127413603', 'https://openalex.org/C86803240', 'https://openalex.org/C27415008']"
https://openalex.org/V7539340,American Journal of Art Therapy,87,['https://openalex.org/C15744967'],"['https://openalex.org/C71924100', 'https://openalex.org/C142362112', 'https://openalex.org/C41008148', 'https://openalex.org/C138885662']","['https://openalex.org/C15744967', 'https://openalex.org/C71924100', 'https://openalex.org/C542102704', 'https://openalex.org/C1862650', 'https://openalex.org/C2781249023', 'https://openalex.org/C142362112', 'https://openalex.org/C41008148', 'https://openalex.org/C138885662', 'https://openalex.org/C118552586', 'https://openalex.org/C153349607']"
https://openalex.org/V10043949,Learning and Motivation,97,['https://openalex.org/C15744967'],"['https://openalex.org/C86803240', 'https://openalex.org/C71924100', 'https://openalex.org/C127413603', 'https://openalex.org/C33923547', 'https://openalex.org/C192562407', 'https://openalex.org/C185592680', 'https://openalex.org/C121332964', 'https://openalex.org/C162324750', 'https://openalex.org/C127313418', 'https://openalex.org/C41008148']","['https://openalex.org/C15744967', 'https://openalex.org/C180747234', 'https://openalex.org/C542102704', 'https://openalex.org/C86803240', 'https://openalex.org/C71924100', 'https://openalex.org/C2779918689', 'https://openalex.org/C77805123', 'https://openalex.org/C127413603', 'https://openalex.org/C138496976', 'https://openalex.org/C33923547', 'https://openalex.org/C192562407', 'https://openalex.org/C105795698', 'https://openalex.org/C66938386', 'https://openalex.org/C159985019', 'https://openalex.org/C67203356', 'https://openalex.org/C169760540', 'https://openalex.org/C45262634', 'https://openalex.org/C548259974', 'https://openalex.org/C39617858', 'https://openalex.org/C185592680', 'https://openalex.org/C121332964', 'https://openalex.org/C118552586', 'https://openalex.org/C162324750', 'https://openalex.org/C127313418', 'https://openalex.org/C126322002', 'https://openalex.org/C151730666', 'https://openalex.org/C41008148']"
https://openalex.org/V10952671,Psychiatrie De L Enfant,102,['https://openalex.org/C15744967'],"['https://openalex.org/C138885662', 'https://openalex.org/C142362112', 'https://openalex.org/C71924100']","['https://openalex.org/C15744967', 'https://openalex.org/C138885662', 'https://openalex.org/C142362112', 'https://openalex.org/C15708023', 'https://openalex.org/C71924100']"
https://openalex.org/V31497010,Journal of Child Language,156,['https://openalex.org/C15744967'],"['https://openalex.org/C138885662', 'https://openalex.org/C33923547', 'https://openalex.org/C41008148', 'https://openalex.org/C86803240', 'https://openalex.org/C71924100', 'https://openalex.org/C144024400']","['https://openalex.org/C15744967', 'https://openalex.org/C138885662', 'https://openalex.org/C41895202', 'https://openalex.org/C33923547', 'https://openalex.org/C145420912', 'https://openalex.org/C74672266', 'https://openalex.org/C138496976', 'https://openalex.org/C41008148', 'https://openalex.org/C2778073708', 'https://openalex.org/C154945302', 'https://openalex.org/C180747234', 'https://openalex.org/C86803240', 'https://openalex.org/C71924100', 'https://openalex.org/C169760540', 'https://openalex.org/C204321447', 'https://openalex.org/C118552586', 'https://openalex.org/C169900460', 'https://openalex.org/C144024400']"
https://openalex.org/V18971317,Journal of Cognitive Psychotherapy,164,['https://openalex.org/C15744967'],"['https://openalex.org/C71924100', 'https://openalex.org/C86803240', 'https://openalex.org/C138885662']","['https://openalex.org/C15744967', 'https://openalex.org/C71924100', 'https://openalex.org/C118552586', 'https://openalex.org/C70410870', 'https://openalex.org/C542102704', 'https://openalex.org/C86803240', 'https://openalex.org/C169760540', 'https://openalex.org/C169900460', 'https://openalex.org/C558461103', 'https://openalex.org/C134018914', 'https://openalex.org/C2779097214', 'https://openalex.org/C142724271', 'https://openalex.org/C126322002', 'https://openalex.org/C141071460', 'https://openalex.org/C168563851', 'https://openalex.org/C159110408', 'https://openalex.org/C2779477915', 'https://openalex.org/C3019523017', 'https://openalex.org/C2780665704', 'https://openalex.org/C2781265626', 'https://openalex.org/C6564018', 'https://openalex.org/C138885662', 'https://openalex.org/C77805123', 'https://openalex.org/C27415008']"
https://openalex.org/V24914084,Applied & Preventive Psychology,191,['https://openalex.org/C15744967'],"['https://openalex.org/C71924100', 'https://openalex.org/C17744445', 'https://openalex.org/C86803240', 'https://openalex.org/C138885662', 'https://openalex.org/C144024400']","['https://openalex.org/C15744967', 'https://openalex.org/C71924100', 'https://openalex.org/C118552586', 'https://openalex.org/C70410870', 'https://openalex.org/C542102704', 'https://openalex.org/C77805123', 'https://openalex.org/C17744445', 'https://openalex.org/C199539241', 'https://openalex.org/C86803240', 'https://openalex.org/C138885662', 'https://openalex.org/C144024400', 'https://openalex.org/C159110408']"
https://openalex.org/V27825752,Journal of Positive Behavior Interventions,196,['https://openalex.org/C15744967'],"['https://openalex.org/C71924100', 'https://openalex.org/C33923547', 'https://openalex.org/C144024400', 'https://openalex.org/C17744445']","['https://openalex.org/C15744967', 'https://openalex.org/C71924100', 'https://openalex.org/C118552586', 'https://openalex.org/C138496976', 'https://openalex.org/C159110408', 'https://openalex.org/C2780665704', 'https://openalex.org/C75630572', 'https://openalex.org/C33923547', 'https://openalex.org/C509550671', 'https://openalex.org/C144024400', 'https://openalex.org/C19417346', 'https://openalex.org/C542102704', 'https://openalex.org/C70410870', 'https://openalex.org/C145420912', 'https://openalex.org/C27415008', 'https://openalex.org/C17744445', 'https://openalex.org/C199539241', 'https://openalex.org/C77805123', 'https://openalex.org/C125565743']"
